Number,Name,Energy_per_100g,Total_energy_on_plate,image
1,Potato crisps (natural),541,NA,1.jpg
2,Cocktail nuts,547,NA,2.jpg
3,Cheese twist,508,NA,3.jpg
4,Nuts,577,NA,4.jpg
5,Toast Brie cheese,418.625,NA,5.jpg
6,Liver sausage,286,NA,6.jpg
7,Sausage bread (small),382,NA,7.jpg
8,Cheese,363,NA,8.jpg
9,Mini frankfurter sausages,202,NA,9.jpg
10,Spring rolls,181,NA,10.jpg
11,Croquettes,298,NA,11.jpg
12,Chicken nuggets,272,NA,12.jpg
13,Fish sticks,239,NA,13.jpg
14,Croissants,403,NA,14.jpg
15,Bagels,257,NA,15.jpg
16,French fries,306,NA,16.jpg
17,Sausage rolls,369,NA,17.jpg
18,Pizza slices,251,NA,18.jpg
19,Meatballs,303,NA,19.jpg
20,Bread with garlic butter,417.6666666666667,NA,20.jpg
21,Mozarella on toast,300.85714285714283,NA,21.jpg
22,Cheese snacks,508,NA,22.jpg
23,Tucs,472,NA,23.jpg
24,Nacho-cheese tortilla chips,487,NA,24.jpg
25,Donuts with icing (4 donuts),416,NA,25.jpg
26,Chocolate chip cookies,500,NA,26.jpg
27,Fondant cake,439,NA,27.jpg
28,Whipped cream cookies with chocolate,287,NA,28.jpg
29,Twix bars,495,NA,29.jpg
30,Strawberries with whipped cream,75.618,NA,30.jpg
31,Stroopwafels mini,473,NA,31.jpg
32,Milk chocolate,546,NA,32.jpg
33,Winegums,349,NA,33.jpg
34,Gingerbread with butter,376.66,NA,34.jpg
35,Biscuit with chocolate,469,NA,35.jpg
36,Chocolate nuts colors,584,NA,36.jpg
37,Mars,447,NA,37.jpg
38,Chocolate Cupcake iced with nuts,548.4,NA,38.jpg
39,Pancakes (small),196,NA,39.jpg
40,Strawberry candies,360,NA,40.jpg
41,Tompouce mini,288,NA,41.jpg
42,Bonbons (chocolates),519,NA,42.jpg
43,Brownies,401,NA,43.jpg
44,Whipped cream pie,350,NA,44.jpg
45,Banana candies,360,NA,45.jpg
46,Ice cream with chocolate,264.642,NA,46.jpg
47,Apple turnover,361,NA,47.jpg
48,Liquorice allsorts,394,NA,48.jpg
49,Chocolate éclair (round),307,NA,49.jpg
50,Breadsticks,401,NA,50.jpg
51,"Olive, pepper and cucumber salad",57.8996,NA,51.jpg
52,Roast beef on toast,206.94736842105263,NA,52.jpg
53,Horse radish on toast,22,NA,53.jpg
54,Prawns,94,NA,54.jpg
55,Egg salad,248,NA,55.jpg
56,Tomato,23,NA,56.jpg
57,Egg on toast,189.667,NA,57.jpg
58,Pepper,22,NA,58.jpg
59,Salad Mozarella tomato,86.78599999999999,NA,59.jpg
60,Steak tartare on toast,273.259,NA,60.jpg
61,Salty sticks (Pretzels),395,NA,61.jpg
62,Carrots,33,NA,62.jpg
63,Carrot and cucumber sticks,26.330099999999998,NA,63.jpg
64,Rice crackers,383,NA,64.jpg
65,Cucumber,13,NA,65.jpg
66,Sushi,165,NA,66.jpg
